HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Intimidation,Open,2020-07-17,Westover
Simple Assault,Cleared by Arrest,2021-04-12,Freedom
Intimidation,Open,2023-02-03,Steele Creek
Simple Assault,Cleared by Arrest,2020-06-10,Steele Creek
Simple Assault,Exceptionally Cleared,2018-10-27,Westover
Intimidation,Open,2023-06-13,North Tryon
Simple Assault,Open,2021-12-05,Freedom
Simple Assault,Exceptionally Cleared,2017-05-23,Steele Creek
Simple Assault,Cleared by Arrest,2019-10-01,University City
Simple Assault,Cleared by Arrest,2019-01-21,North
Simple Assault,Exceptionally Cleared,2021-01-09,Steele Creek
Simple Assault,Exceptionally Cleared,2022-07-17,Providence
Intimidation,Open,2021-09-29,Westover
Intimidation,Open,2019-06-09,Steele Creek
Simple Assault,Cleared by Arrest,2022-06-11,Central
Intimidation,Open,2021-06-11,Steele Creek
Simple Assault,Exceptionally Cleared,2018-02-05,Steele Creek
Simple Assault,Cleared by Arrest,2017-12-30,Metro
Simple Assault,Open,2019-08-03,University City
Simple Assault,Exceptionally Cleared,2021-12-26,Freedom
Simple Assault,Cleared by Arrest,2021-03-30,Freedom
Simple Assault,Exceptionally Cleared,2024-10-25,North
Intimidation,Exceptionally Cleared,2023-07-30,Hickory Grove
Simple Assault,Open,2020-05-20,Eastway
Simple Assault,Exceptionally Cleared,2022-02-28,Steele Creek
Intimidation,Open,2019-04-15,Freedom
Simple Assault,Cleared by Arrest,2017-04-08,Hickory Grove
Simple Assault,Open,2021-12-03,Steele Creek
Simple Assault,Open,2018-03-31,Westover
Intimidation,Exceptionally Cleared,2018-02-12,Metro
Simple Assault,Exceptionally Cleared,2021-08-01,Metro
Simple Assault,Cleared by Arrest,2020-11-05,University City
Simple Assault,Exceptionally Cleared,2023-07-30,Westover
Simple Assault,Cleared by Arrest,2023-08-13,Westover
Intimidation,Exceptionally Cleared,2023-09-19,Eastway
Intimidation,Cleared by Arrest,2018-02-08,North
Intimidation,Open,2019-04-24,Eastway
Simple Assault,Cleared by Arrest,2017-12-28,Providence
Simple Assault,Cleared by Arrest,2023-07-26,Independence
Simple Assault,Exceptionally Cleared,2018-07-07,Freedom
Intimidation,Open,2022-02-03,Steele Creek
Simple Assault,Cleared by Arrest,2020-06-14,Eastway
Simple Assault,Cleared by Arrest,2018-02-26,South
Intimidation,Cleared by Arrest,2017-09-23,Metro
Simple Assault,Open,2024-10-02,Hickory Grove
Intimidation,Cleared by Arrest,2022-02-15,North Tryon
Simple Assault,Exceptionally Cleared,2024-11-04,Providence
Simple Assault,Exceptionally Cleared,2024-02-20,Hickory Grove
Simple Assault,Cleared by Arrest,2017-01-09,Freedom
Intimidation,Open,2018-10-14,Hickory Grove
Simple Assault,Open,2017-05-13,University City
Intimidation,Exceptionally Cleared,2020-06-29,Hickory Grove
Intimidation,Exceptionally Cleared,2022-08-02,North
Simple Assault,Exceptionally Cleared,2019-03-31,North
Intimidation,Exceptionally Cleared,2024-05-30,South
Simple Assault,Open,2023-09-25,University City
Simple Assault,Cleared by Arrest,2020-08-15,University City
Simple Assault,Exceptionally Cleared,2023-06-04,Steele Creek
Simple Assault,Cleared by Arrest,2024-09-24,Freedom
Simple Assault,Exceptionally Cleared,2024-09-20,University City
Simple Assault,Open,2022-01-08,Central
Simple Assault,Exceptionally Cleared,2024-11-02,Eastway
Intimidation,Open,2021-11-22,North Tryon
Simple Assault,Exceptionally Cleared,2021-10-23,University City
Simple Assault,Open,2020-09-22,Central
Intimidation,Exceptionally Cleared,2022-07-19,Freedom
Simple Assault,Open,2021-12-24,Independence
Simple Assault,Exceptionally Cleared,2021-04-01,University City
Simple Assault,Open,2018-01-25,Metro
Simple Assault,Exceptionally Cleared,2021-02-08,University City
Simple Assault,Open,2018-02-06,Metro
Simple Assault,Open,2022-07-05,Metro
Simple Assault,Exceptionally Cleared,2018-08-21,Freedom
Simple Assault,Cleared by Arrest,2024-04-24,Eastway
Intimidation,Open,2023-03-28,Metro
Simple Assault,Cleared by Arrest,2021-06-02,North Tryon
Intimidation,Exceptionally Cleared,2019-08-15,Westover
Simple Assault,Open,2023-02-08,North Tryon
Simple Assault,Cleared by Arrest,2019-07-12,Eastway
Simple Assault,Cleared by Arrest,2018-01-13,Hickory Grove
Simple Assault,Cleared by Arrest,2023-08-24,North
Simple Assault,Exceptionally Cleared,2022-10-23,South
Intimidation,Exceptionally Cleared,2019-08-07,Freedom
Simple Assault,Cleared by Arrest,2020-04-02,North
Simple Assault,Open,2017-11-29,Westover
Simple Assault,Cleared by Arrest,2019-11-21,North
Simple Assault,Cleared by Arrest,2018-07-15,Steele Creek
Simple Assault,Cleared by Arrest by Another Agency,2022-10-06,Steele Creek
Simple Assault,Cleared by Arrest,2020-07-03,North
Intimidation,Exceptionally Cleared,2019-06-19,Westover
Simple Assault,Open,2022-08-03,North
Intimidation,Exceptionally Cleared,2024-04-24,Westover
Simple Assault,Cleared by Arrest,2017-05-30,North Tryon
Simple Assault,Cleared by Arrest,2021-06-04,University City
Simple Assault,Open,2024-10-27,Freedom
Intimidation,Open,2021-12-18,University City
Simple Assault,Open,2022-09-29,Eastway
Simple Assault,Open,2017-01-01,Eastway
Simple Assault,Open,2018-07-23,Central
Simple Assault,Cleared by Arrest,2022-04-13,Hickory Grove
Simple Assault,Open,2022-10-24,North Tryon
Intimidation,Open,2021-04-28,North Tryon
Simple Assault,Open,2024-06-29,University City
Simple Assault,Open,2021-08-18,Steele Creek
Simple Assault,Open,2024-03-17,Freedom
Simple Assault,Cleared by Arrest,2023-09-18,North
Simple Assault,Open,2023-05-03,Steele Creek
Intimidation,Cleared by Arrest,2020-11-12,North
Intimidation,Open,2022-09-15,North
Simple Assault,Exceptionally Cleared,2023-11-09,Independence
Simple Assault,Exceptionally Cleared,2023-03-11,Westover
Simple Assault,Exceptionally Cleared,2020-02-06,Independence
Simple Assault,Exceptionally Cleared,2021-04-02,Independence
Intimidation,Open,2024-08-23,Independence
Intimidation,Exceptionally Cleared,2017-03-26,Westover
Simple Assault,Open,2018-09-27,Westover
Intimidation,Open,2020-04-07,University City
Intimidation,Exceptionally Cleared,2017-10-23,North
Simple Assault,Cleared by Arrest,2020-03-14,South
Simple Assault,Unfounded,2019-03-11,University City
Simple Assault,Exceptionally Cleared,2022-08-29,Eastway
Simple Assault,Exceptionally Cleared,2018-01-10,Eastway
Simple Assault,Open,2022-10-31,Metro
Simple Assault,Open,2019-11-28,Freedom
Simple Assault,Open,2019-08-08,Steele Creek
Simple Assault,Cleared by Arrest,2018-04-15,South
Simple Assault,Cleared by Arrest,2021-12-22,North
Intimidation,Open,2019-09-10,University City
Simple Assault,Open,2022-03-17,North Tryon
Simple Assault,Open,2021-10-02,University City
Simple Assault,Cleared by Arrest,2019-12-27,Westover
Simple Assault,Open,2023-03-13,University City
Intimidation,Open,2022-11-17,North
Simple Assault,Unfounded,2018-11-29,Steele Creek
Simple Assault,Exceptionally Cleared,2017-03-12,Metro
Simple Assault,Open,2018-07-26,Hickory Grove
Simple Assault,Cleared by Arrest,2018-08-23,Freedom
Simple Assault,Open,2023-07-08,Steele Creek
Intimidation,Open,2018-12-28,Central
Simple Assault,Exceptionally Cleared,2022-07-01,Freedom
Simple Assault,Cleared by Arrest,2018-03-15,University City
Simple Assault,Exceptionally Cleared,2023-12-29,Steele Creek
Simple Assault,Cleared by Arrest,2020-02-05,Hickory Grove
Simple Assault,Cleared by Arrest,2020-07-06,Westover
Simple Assault,Cleared by Arrest,2019-09-19,Metro
Simple Assault,Open,2023-05-15,Eastway
Simple Assault,Cleared by Arrest,2024-01-30,Steele Creek
Intimidation,Cleared by Arrest,2017-01-25,Eastway
Simple Assault,Open,2023-02-04,Providence
Simple Assault,Open,2024-10-09,North
Simple Assault,Cleared by Arrest,2020-07-03,Westover
Simple Assault,Exceptionally Cleared,2024-03-03,Metro
Intimidation,Exceptionally Cleared,2022-10-14,Freedom
Simple Assault,Exceptionally Cleared,2019-05-27,South
Intimidation,Open,2021-09-12,Metro
Simple Assault,Cleared by Arrest,2018-12-19,University City
Simple Assault,Open,2017-03-01,North
Simple Assault,Exceptionally Cleared,2022-02-18,Steele Creek
Simple Assault,Exceptionally Cleared,2018-10-22,Hickory Grove
Simple Assault,Open,2019-02-05,University City
Simple Assault,Open,2019-12-19,North Tryon
Simple Assault,Open,2023-11-12,University City
Simple Assault,Cleared by Arrest,2019-03-30,Metro
Intimidation,Open,2022-07-29,Westover
Simple Assault,Cleared by Arrest,2024-02-29,Metro
Simple Assault,Unfounded,2023-01-04,University City
Simple Assault,Cleared by Arrest,2022-04-23,Independence
Simple Assault,Cleared by Arrest,2018-05-03,North Tryon
Simple Assault,Open,2018-04-21,Metro
Simple Assault,Exceptionally Cleared,2020-10-24,Hickory Grove
Simple Assault,Exceptionally Cleared,2021-11-18,Steele Creek
Simple Assault,Cleared by Arrest,2018-07-02,Eastway
Simple Assault,Cleared by Arrest,2023-10-24,Steele Creek
Intimidation,Open,2021-12-14,South
Intimidation,Open,2024-04-08,Steele Creek
Simple Assault,Open,2020-05-09,Independence
Simple Assault,Open,2022-02-15,North
Simple Assault,Cleared by Arrest,2022-10-15,Independence
Simple Assault,Exceptionally Cleared,2023-06-03,Independence
Simple Assault,Cleared by Arrest,2023-05-11,South
Simple Assault,Open,2018-08-15,Freedom
Simple Assault,Open,2017-04-25,Central
Simple Assault,Cleared by Arrest,2020-01-24,North
Simple Assault,Exceptionally Cleared,2022-03-07,South
Simple Assault,Open,2019-06-08,University City
Simple Assault,Open,2020-08-05,North
Simple Assault,Exceptionally Cleared,2021-11-29,Eastway
Intimidation,Exceptionally Cleared,2018-06-17,Central
Intimidation,Open,2020-03-08,North
Simple Assault,Open,2023-07-16,University City
Simple Assault,Open,2023-07-16,Steele Creek
Simple Assault,Cleared by Arrest,2020-02-17,North Tryon
Simple Assault,Exceptionally Cleared,2020-07-04,Westover
Simple Assault,Open,2023-01-29,North Tryon
Simple Assault,Open,2017-08-31,Hickory Grove
Simple Assault,Open,2024-09-15,Metro
Simple Assault,Open,2017-05-20,University City
Simple Assault,Exceptionally Cleared,2023-02-17,Metro
Intimidation,Open,2017-11-14,Westover
Intimidation,Cleared by Arrest,2021-06-19,Steele Creek
Intimidation,Exceptionally Cleared,2023-05-09,Independence
Simple Assault,Cleared by Arrest,2020-10-17,South
Intimidation,Exceptionally Cleared,2024-02-09,South
Simple Assault,Exceptionally Cleared,2019-10-01,Freedom
Simple Assault,Open,2017-04-05,University City
Simple Assault,Cleared by Arrest,2023-09-10,Central
Simple Assault,Exceptionally Cleared,2023-01-18,North Tryon
Simple Assault,Exceptionally Cleared,2020-02-29,Steele Creek
Simple Assault,Cleared by Arrest,2020-01-09,Freedom
Simple Assault,Open,2024-08-02,North Tryon
Simple Assault,Cleared by Arrest,2018-10-02,Metro
Simple Assault,Exceptionally Cleared,2020-11-12,North Tryon
Simple Assault,Open,2017-03-02,Central
Simple Assault,Cleared by Arrest,2020-11-25,North Tryon
Simple Assault,Open,2021-07-15,Metro
Simple Assault,Open,2017-04-10,Metro
Simple Assault,Cleared by Arrest,2023-05-14,Hickory Grove
Simple Assault,Exceptionally Cleared,2022-12-01,Independence
Intimidation,Open,2023-05-11,North
Simple Assault,Open,2017-08-15,Steele Creek
Simple Assault,Cleared by Arrest,2022-10-29,Eastway
Simple Assault,Open,2019-05-24,North Tryon
Simple Assault,Open,2024-01-24,University City
Simple Assault,Open,2024-07-17,University City
Simple Assault,Open,2020-11-04,Metro
Simple Assault,Exceptionally Cleared,2017-08-28,Freedom
Simple Assault,Cleared by Arrest,2020-08-16,Hickory Grove
Intimidation,Exceptionally Cleared,2021-01-15,Freedom
Simple Assault,Open,2022-02-23,Westover
Simple Assault,Cleared by Arrest,2023-02-28,Westover
Simple Assault,Cleared by Arrest,2023-09-01,Freedom
Simple Assault,Exceptionally Cleared,2020-02-10,South
Simple Assault,Cleared by Arrest,2018-08-14,University City
Intimidation,Open,2023-07-04,South
Simple Assault,Exceptionally Cleared,2019-01-28,North
Intimidation,Open,2022-05-23,University City
Simple Assault,Open,2020-06-15,University City
Intimidation,Open,2020-06-29,Hickory Grove
Simple Assault,Cleared by Arrest,2018-03-18,Steele Creek
Simple Assault,Exceptionally Cleared,2023-05-10,Providence
Simple Assault,Open,2022-11-05,Steele Creek
Simple Assault,Cleared by Arrest,2023-02-21,University City
Simple Assault,Exceptionally Cleared,2023-02-09,Hickory Grove
Simple Assault,Cleared by Arrest,2021-06-27,University City
Simple Assault,Cleared by Arrest,2019-07-27,Hickory Grove
Simple Assault,Open,2022-12-15,Independence
Simple Assault,Open,2018-04-23,Freedom
Simple Assault,Cleared by Arrest,2023-06-06,Freedom
Intimidation,Open,2019-04-03,University City
Simple Assault,Open,2022-07-02,Steele Creek
Simple Assault,Open,2019-03-04,Westover
Simple Assault,Open,2017-08-07,Eastway
Intimidation,Exceptionally Cleared,2017-05-11,Eastway
Simple Assault,Exceptionally Cleared,2017-12-03,Independence
Intimidation,Open,2022-03-02,University City
Simple Assault,Cleared by Arrest,2019-12-17,North Tryon
Simple Assault,Exceptionally Cleared,2018-03-07,North
Intimidation,Open,2023-10-08,South
Simple Assault,Cleared by Arrest,2017-12-19,Metro
Simple Assault,Open,2021-03-09,Providence
Intimidation,Open,2017-04-11,Hickory Grove
Simple Assault,Open,2021-07-08,University City
Simple Assault,Exceptionally Cleared,2022-12-10,Hickory Grove
Intimidation,Exceptionally Cleared,2019-03-06,Independence
Simple Assault,Open,2018-05-31,Independence
Simple Assault,Exceptionally Cleared,2021-07-09,University City
Simple Assault,Open,2022-05-01,Steele Creek
Simple Assault,Open,2024-03-11,Steele Creek
Simple Assault,Cleared by Arrest,2017-02-02,Westover
Simple Assault,Exceptionally Cleared,2022-05-06,University City
Simple Assault,Cleared by Arrest,2022-06-21,Steele Creek
Intimidation,Open,2021-11-10,University City
Intimidation,Open,2017-06-08,South
Intimidation,Open,2019-09-15,University City
Simple Assault,Open,2019-10-26,North Tryon
Simple Assault,Exceptionally Cleared,2024-02-17,Central
Simple Assault,Exceptionally Cleared,2018-04-23,Metro
Simple Assault,Exceptionally Cleared,2022-07-15,Westover
Simple Assault,Exceptionally Cleared,2019-01-13,South
Simple Assault,Cleared by Arrest,2017-01-31,Central
Simple Assault,Open,2021-08-31,Metro
Simple Assault,Open,2020-07-07,North
Simple Assault,Open,2018-12-10,Freedom
Simple Assault,Exceptionally Cleared,2017-07-14,Westover
Intimidation,Cleared by Arrest,2022-08-29,Eastway
Simple Assault,Cleared by Arrest,2019-12-24,Hickory Grove
Simple Assault,Exceptionally Cleared,2024-02-23,University City
Simple Assault,Cleared by Arrest,2020-05-09,Eastway
Simple Assault,Open,2023-04-01,Central
Simple Assault,Open,2024-09-02,North Tryon
Simple Assault,Exceptionally Cleared,2022-06-13,Eastway
Intimidation,Exceptionally Cleared,2023-09-11,Hickory Grove
Intimidation,Unfounded,2024-10-23,Westover
Simple Assault,Open,2019-11-21,Freedom
Simple Assault,Exceptionally Cleared,2017-09-06,Metro
Simple Assault,Open,2021-08-23,North Tryon
Simple Assault,Open,2017-11-15,Central
Simple Assault,Cleared by Arrest,2019-07-24,North
Simple Assault,Cleared by Arrest by Another Agency,2018-09-14,Providence
Simple Assault,Cleared by Arrest,2022-05-10,Freedom
Simple Assault,Cleared by Arrest,2018-07-13,Metro
Intimidation,Open,2024-07-24,Eastway
Simple Assault,Open,2024-09-23,Central
Simple Assault,Cleared by Arrest,2018-02-24,Metro
Simple Assault,Exceptionally Cleared,2020-03-14,Westover
Simple Assault,Cleared by Arrest,2023-11-24,Metro
Intimidation,Open,2019-12-02,North
Simple Assault,Cleared by Arrest,2019-10-25,Providence
Intimidation,Open,2019-01-01,Westover
Intimidation,Open,2023-04-29,North Tryon
Intimidation,Exceptionally Cleared,2024-07-24,Independence
Simple Assault,Open,2018-05-10,Freedom
Simple Assault,Open,2024-06-08,Steele Creek
Simple Assault,Cleared by Arrest,2018-04-05,Independence
Simple Assault,Open,2023-04-02,North
Simple Assault,Open,2024-01-09,Steele Creek
Simple Assault,Cleared by Arrest,2019-09-12,North
Simple Assault,Cleared by Arrest,2021-03-09,University City
Intimidation,Unfounded,2023-06-15,North Tryon
Simple Assault,Cleared by Arrest,2020-09-13,Freedom
Simple Assault,Cleared by Arrest,2017-12-17,Metro
Simple Assault,Cleared by Arrest,2022-09-13,University City
Simple Assault,Open,2017-01-04,Metro
Simple Assault,Open,2023-10-20,University City
Intimidation,Open,2024-09-10,Freedom
Simple Assault,Exceptionally Cleared,2018-02-27,Central
Intimidation,Open,2024-08-21,Steele Creek
Intimidation,Exceptionally Cleared,2018-06-13,Providence
Simple Assault,Open,2018-05-22,Westover
Intimidation,Exceptionally Cleared,2018-11-22,North Tryon
Simple Assault,Cleared by Arrest,2018-08-06,Freedom
Simple Assault,Cleared by Arrest,2021-06-06,Freedom
Simple Assault,Cleared by Arrest,2018-01-14,Eastway
Intimidation,Exceptionally Cleared,2022-04-03,Independence
Simple Assault,Cleared by Arrest,2021-06-23,Central
Simple Assault,Open,2023-04-24,Hickory Grove
Intimidation,Open,2024-03-02,Providence
Simple Assault,Exceptionally Cleared,2017-11-04,University City
Simple Assault,Cleared by Arrest,2020-12-25,South
Simple Assault,Open,2023-07-11,University City
Intimidation,Open,2024-10-24,Metro
Intimidation,Cleared by Arrest,2022-03-18,North Tryon
Simple Assault,Open,2021-07-11,Metro
Simple Assault,Cleared by Arrest,2024-04-27,Eastway
Simple Assault,Open,2019-07-05,North Tryon
Simple Assault,Open,2020-01-29,North Tryon
Simple Assault,Open,2023-10-22,Independence
Simple Assault,Cleared by Arrest,2021-10-14,Metro
Simple Assault,Cleared by Arrest,2023-12-23,Independence
Simple Assault,Cleared by Arrest,2017-02-19,Eastway
Simple Assault,Cleared by Arrest by Another Agency,2018-11-07,Hickory Grove
Intimidation,Exceptionally Cleared,2017-02-06,Central
Intimidation,Open,2019-10-04,Hickory Grove
Intimidation,Cleared by Arrest,2019-05-08,University City
Simple Assault,Cleared by Arrest,2019-04-16,Westover
Simple Assault,Cleared by Arrest,2020-09-28,North
Simple Assault,Open,2020-10-28,University City
Simple Assault,Exceptionally Cleared,2018-09-17,Steele Creek
Simple Assault,Cleared by Arrest,2019-08-02,Freedom
Simple Assault,Exceptionally Cleared,2017-11-24,Providence
Simple Assault,Cleared by Arrest,2017-01-19,North
Intimidation,Open,2020-09-13,North
Simple Assault,Cleared by Arrest,2017-11-05,Metro
Simple Assault,Open,2023-09-30,Providence
Simple Assault,Cleared by Arrest,2019-02-03,Steele Creek
Simple Assault,Cleared by Arrest,2021-01-13,Eastway
Simple Assault,Open,2021-07-27,Hickory Grove
Intimidation,Open,2023-03-08,Eastway
Simple Assault,Cleared by Arrest,2017-05-09,University City
Simple Assault,Open,2024-08-12,Freedom
Simple Assault,Exceptionally Cleared,2024-01-07,University City
Simple Assault,Open,2022-08-13,Eastway
Simple Assault,Open,2018-12-05,Airport
Simple Assault,Cleared by Arrest,2018-02-16,North Tryon
Simple Assault,Exceptionally Cleared,2024-07-26,Hickory Grove
Simple Assault,Exceptionally Cleared,2019-07-16,North Tryon
Intimidation,Cleared by Arrest,2019-04-07,Metro
Simple Assault,Open,2024-09-16,Metro
Intimidation,Open,2018-03-19,University City
Intimidation,Cleared by Arrest by Another Agency,2024-10-28,Providence
Intimidation,Open,2017-10-29,Independence
Simple Assault,Cleared by Arrest,2020-04-06,Metro
Simple Assault,Cleared by Arrest,2018-06-12,Steele Creek
Simple Assault,Open,2024-09-08,Central
Simple Assault,Cleared by Arrest,2018-06-28,Hickory Grove
Simple Assault,Cleared by Arrest,2017-02-05,Westover
Simple Assault,Cleared by Arrest,2019-02-24,Metro
Simple Assault,Cleared by Arrest,2023-04-06,North
Intimidation,Open,2018-04-01,Hickory Grove
Intimidation,Open,2019-09-18,University City
Intimidation,Exceptionally Cleared,2021-07-25,Freedom
Intimidation,Open,2022-08-24,Metro
Simple Assault,Cleared by Arrest,2019-03-24,North Tryon
Intimidation,Open,2020-06-19,University City
Simple Assault,Open,2018-05-18,North
Simple Assault,Open,2017-07-16,Eastway
Simple Assault,Cleared by Arrest,2017-07-07,Metro
Simple Assault,Cleared by Arrest,2019-10-06,Westover
Simple Assault,Cleared by Arrest,2017-05-27,Independence
Simple Assault,Cleared by Arrest,2019-08-04,Hickory Grove
Intimidation,Cleared by Arrest,2017-02-28,Independence
Intimidation,Open,2018-09-28,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-02-22,Westover
Simple Assault,Open,2024-06-02,Providence
Simple Assault,Exceptionally Cleared,2019-03-24,Providence
Intimidation,Open,2018-08-28,Freedom
Intimidation,Open,2018-08-21,Eastway
Simple Assault,Open,2020-10-10,Independence
Simple Assault,Exceptionally Cleared,2017-12-22,Steele Creek
Simple Assault,Cleared by Arrest,2024-02-07,North
Intimidation,Cleared by Arrest,2018-12-11,Hickory Grove
Intimidation,Open,2023-08-26,Providence
Simple Assault,Cleared by Arrest,2020-05-21,Steele Creek
Intimidation,Open,2021-04-15,Hickory Grove
Intimidation,Open,2023-11-25,Eastway
Simple Assault,Exceptionally Cleared,2018-02-22,Hickory Grove
Simple Assault,Open,2023-01-12,Providence
Simple Assault,Cleared by Arrest,2019-07-19,North
Simple Assault,Exceptionally Cleared,2022-03-15,Central
Intimidation,Open,2018-06-17,Steele Creek
Simple Assault,Cleared by Arrest,2017-04-02,University City
Intimidation,Exceptionally Cleared,2022-08-24,Steele Creek
Intimidation,Open,2021-09-11,Providence
Intimidation,Exceptionally Cleared,2019-06-22,Steele Creek
Simple Assault,Open,2023-12-15,Metro
Simple Assault,Cleared by Arrest,2024-05-24,University City
Simple Assault,Exceptionally Cleared,2023-09-08,Freedom
Simple Assault,Open,2021-03-03,Westover
Intimidation,Open,2019-06-15,Freedom
Simple Assault,Exceptionally Cleared,2022-06-08,Hickory Grove
Simple Assault,Cleared by Arrest,2019-12-18,Central
Simple Assault,Open,2019-01-31,Hickory Grove
Simple Assault,Cleared by Arrest by Another Agency,2022-04-16,Westover
Intimidation,Exceptionally Cleared,2017-03-14,North Tryon
Simple Assault,Open,2020-02-03,University City
Intimidation,Exceptionally Cleared,2022-01-18,Independence
Simple Assault,Open,2023-02-27,University City
Intimidation,Open,2021-05-07,Central
Simple Assault,Open,2018-04-18,Steele Creek
Simple Assault,Cleared by Arrest,2017-04-27,Metro
Simple Assault,Open,2024-07-13,Freedom
Simple Assault,Open,2020-11-29,University City
Simple Assault,Cleared by Arrest,2021-11-18,University City
Intimidation,Exceptionally Cleared,2020-06-20,Steele Creek
Simple Assault,Open,2019-10-18,Metro
Simple Assault,Cleared by Arrest,2023-01-27,Central
Intimidation,Exceptionally Cleared,2024-05-12,North Tryon
Simple Assault,Open,2017-08-18,Independence
Simple Assault,Cleared by Arrest,2022-03-30,Steele Creek
Simple Assault,Cleared by Arrest,2021-12-31,Eastway
Simple Assault,Open,2024-04-05,North
Simple Assault,Exceptionally Cleared,2017-12-25,Metro
Simple Assault,Open,2019-10-28,Metro
Simple Assault,Cleared by Arrest,2020-12-24,Metro
Simple Assault,Exceptionally Cleared,2023-06-30,University City
Simple Assault,Cleared by Arrest,2020-06-28,University City
Simple Assault,Cleared by Arrest,2024-09-19,University City
Simple Assault,Cleared by Arrest,2023-01-21,University City
Simple Assault,Exceptionally Cleared,2021-01-26,North
Simple Assault,Open,2023-08-10,Independence
Simple Assault,Open,2022-07-25,Independence
Intimidation,Open,2024-10-24,Eastway
Simple Assault,Cleared by Arrest,2021-09-24,University City
Intimidation,Exceptionally Cleared,2023-05-12,Steele Creek
Simple Assault,Exceptionally Cleared,2021-03-16,Providence
Intimidation,Exceptionally Cleared,2023-03-07,Hickory Grove
Intimidation,Exceptionally Cleared,2024-06-07,Westover
Simple Assault,Exceptionally Cleared,2018-10-19,Hickory Grove
Simple Assault,Exceptionally Cleared,2022-09-22,Steele Creek
Intimidation,Open,2020-07-20,Independence
Simple Assault,Open,2017-11-16,Metro
Simple Assault,Cleared by Arrest,2023-04-22,University City
Simple Assault,Open,2019-04-02,Freedom
Simple Assault,Open,2021-01-26,Westover
Intimidation,Exceptionally Cleared,2021-08-23,North
Simple Assault,Exceptionally Cleared,2022-02-25,North Tryon
Simple Assault,Cleared by Arrest,2018-11-07,University City
Intimidation,Exceptionally Cleared,2018-05-22,North
Intimidation,Open,2017-11-27,Central
Simple Assault,Cleared by Arrest,2019-05-13,Providence
Intimidation,Open,2020-08-24,Hickory Grove
Intimidation,Cleared by Arrest,2020-12-22,Steele Creek
Simple Assault,Cleared by Arrest,2018-07-19,Freedom
Simple Assault,Cleared by Arrest,2019-01-28,University City
Intimidation,Exceptionally Cleared,2017-10-04,Steele Creek
Simple Assault,Cleared by Arrest,2019-01-10,Freedom
Intimidation,Open,2023-05-05,North
Simple Assault,Cleared by Arrest,2024-10-27,Providence
Intimidation,Open,2018-08-09,South
Intimidation,Open,2022-09-29,Steele Creek
Intimidation,Open,2017-12-08,Steele Creek
Intimidation,Open,2023-04-14,Hickory Grove
Intimidation,Open,2018-01-13,North
Simple Assault,Open,2024-06-16,Hickory Grove
Simple Assault,Open,2023-04-06,University City
Simple Assault,Open,2021-06-28,North Tryon
Simple Assault,Exceptionally Cleared,2023-01-19,University City
Intimidation,Open,2018-07-09,Central
Simple Assault,Open,2023-05-17,Steele Creek
Simple Assault,Exceptionally Cleared,2019-07-03,Providence
Simple Assault,Exceptionally Cleared,2020-06-07,Providence
Simple Assault,Open,2021-06-16,Independence
Simple Assault,Exceptionally Cleared,2018-02-06,Metro
Simple Assault,Open,2018-03-20,South
Intimidation,Exceptionally Cleared,2019-10-07,University City
Simple Assault,Cleared by Arrest,2020-10-02,Hickory Grove
Simple Assault,Open,2023-12-02,North
Simple Assault,Open,2024-09-21,Steele Creek
Intimidation,Cleared by Arrest,2019-12-10,Eastway
Simple Assault,Open,2023-09-02,Providence
Intimidation,Exceptionally Cleared,2019-03-25,Freedom
Simple Assault,Cleared by Arrest,2021-09-02,Independence
Simple Assault,Exceptionally Cleared,2021-11-23,Freedom
Simple Assault,Exceptionally Cleared,2022-04-09,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-08-03,Freedom
Simple Assault,Open,2019-01-28,Metro
Simple Assault,Cleared by Arrest,2020-02-18,Providence
Simple Assault,Cleared by Arrest,2019-02-27,Metro
Intimidation,Cleared by Arrest,2018-09-20,Hickory Grove
Simple Assault,Open,2017-07-15,North Tryon
Simple Assault,Open,2023-02-28,Steele Creek
Intimidation,Open,2021-05-15,Freedom
Intimidation,Cleared by Arrest,2018-10-24,Steele Creek
Simple Assault,Open,2024-11-16,Freedom
Intimidation,Exceptionally Cleared,2020-01-14,Independence
Simple Assault,Cleared by Arrest by Another Agency,2018-11-05,Westover
Intimidation,Open,2020-07-19,North Tryon
Intimidation,Cleared by Arrest,2020-01-18,Eastway
Simple Assault,Open,2022-04-19,Steele Creek
Intimidation,Cleared by Arrest,2019-09-03,Hickory Grove
Intimidation,Exceptionally Cleared,2022-04-11,Eastway
Intimidation,Open,2022-04-01,Steele Creek
Simple Assault,Open,2024-05-07,North Tryon
Intimidation,Open,2020-05-14,Westover
Simple Assault,Open,2024-06-23,Hickory Grove
Simple Assault,Open,2018-10-05,Metro
Simple Assault,Cleared by Arrest,2019-01-31,University City
Intimidation,Open,2022-07-15,North Tryon
Simple Assault,Open,2020-11-15,Central
Intimidation,Exceptionally Cleared,2024-05-26,Freedom
Simple Assault,Cleared by Arrest,2021-05-20,Hickory Grove
Simple Assault,Cleared by Arrest,2018-04-01,Westover
Intimidation,Open,2020-03-21,University City
Simple Assault,Cleared by Arrest,2019-12-10,North Tryon
