HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Simple Assault,Cleared by Arrest,2020-07-03,Freedom
Intimidation,Open,2023-08-15,North Tryon
Simple Assault,Exceptionally Cleared,2023-08-19,Metro
Simple Assault,Open,2020-07-03,Providence
Simple Assault,Cleared by Arrest,2019-07-15,Independence
Intimidation,Open,2023-05-17,Metro
Intimidation,Exceptionally Cleared,2021-12-19,Steele Creek
Simple Assault,Cleared by Arrest,2021-09-06,Westover
Simple Assault,Cleared by Arrest,2021-08-22,Central
Simple Assault,Open,2019-06-18,Steele Creek
Simple Assault,Open,2018-06-08,Eastway
Simple Assault,Cleared by Arrest,2018-07-10,North
Intimidation,Exceptionally Cleared,2023-07-17,North Tryon
Simple Assault,Open,2018-03-22,Eastway
Simple Assault,Open,2019-06-01,Hickory Grove
Simple Assault,Cleared by Arrest,2019-12-10,Steele Creek
Intimidation,Open,2021-11-01,Westover
Simple Assault,Cleared by Arrest,2018-07-18,Westover
Simple Assault,Cleared by Arrest,2023-05-02,North Tryon
Simple Assault,Cleared by Arrest,2022-01-24,Steele Creek
Simple Assault,Exceptionally Cleared,2022-05-18,North
Simple Assault,Open,2022-07-12,Providence
Intimidation,Open,2023-07-03,Metro
Simple Assault,Open,2019-10-29,University City
Simple Assault,Exceptionally Cleared,2019-06-21,Steele Creek
Simple Assault,Cleared by Arrest,2019-04-25,North Tryon
Simple Assault,Open,2020-01-31,North
Simple Assault,Cleared by Arrest,2019-12-31,Hickory Grove
Simple Assault,Cleared by Arrest,2024-10-11,Providence
Intimidation,Open,2024-09-28,Metro
Simple Assault,Cleared by Arrest,2022-09-14,University City
Simple Assault,Cleared by Arrest,2021-12-05,Steele Creek
Simple Assault,Cleared by Arrest,2019-02-07,Eastway
Simple Assault,Open,2017-05-01,Westover
Simple Assault,Exceptionally Cleared,2017-12-04,Independence
Simple Assault,Open,2021-08-15,Independence
Intimidation,Exceptionally Cleared,2017-02-23,South
Simple Assault,Open,2019-07-01,Central
Simple Assault,Exceptionally Cleared,2017-06-04,North Tryon
Simple Assault,Cleared by Arrest,2020-05-03,North
Simple Assault,Open,2024-02-08,University City
Simple Assault,Open,2017-12-25,Freedom
Simple Assault,Cleared by Arrest,2019-04-28,North Tryon
Simple Assault,Open,2024-06-22,Central
Simple Assault,Cleared by Arrest,2017-08-20,University City
Simple Assault,Open,2022-08-04,Eastway
Simple Assault,Open,2023-07-09,North
Simple Assault,Open,2024-02-24,University City
Simple Assault,Open,2020-01-03,Independence
Intimidation,Cleared by Arrest,2019-10-10,Providence
Simple Assault,Cleared by Arrest,2018-08-11,South
Simple Assault,Cleared by Arrest,2022-02-18,South
Simple Assault,Open,2017-11-23,Central
Simple Assault,Open,2018-10-29,Freedom
Intimidation,Open,2020-09-01,North Tryon
Simple Assault,Cleared by Arrest,2021-04-15,University City
Simple Assault,Exceptionally Cleared,2020-04-22,Steele Creek
Simple Assault,Open,2019-03-12,Eastway
Simple Assault,Open,2024-04-29,Central
Simple Assault,Unfounded,2020-03-01,Westover
Simple Assault,Exceptionally Cleared,2020-12-05,Providence
Intimidation,Cleared by Arrest,2017-08-05,University City
Intimidation,Open,2018-09-05,North
Intimidation,Exceptionally Cleared,2019-03-07,Central
Simple Assault,Exceptionally Cleared,2022-02-01,Freedom
Intimidation,Open,2020-07-27,Steele Creek
Intimidation,Cleared by Arrest,2019-09-09,University City
Simple Assault,Open,2017-06-03,Westover
Simple Assault,Open,2018-01-24,Steele Creek
Simple Assault,Exceptionally Cleared,2021-10-07,Steele Creek
Simple Assault,Open,2024-08-20,Westover
Simple Assault,Open,2022-09-12,Hickory Grove
Simple Assault,Open,2024-10-26,Westover
Simple Assault,Open,2023-02-16,Providence
Simple Assault,Open,2022-11-19,Steele Creek
Simple Assault,Open,2024-09-24,University City
Simple Assault,Exceptionally Cleared,2024-03-08,Freedom
Simple Assault,Open,2023-07-06,North
Intimidation,Open,2024-02-07,South
Intimidation,Open,2023-01-24,University City
Simple Assault,Cleared by Arrest,2019-02-12,Central
Simple Assault,Cleared by Arrest,2018-08-12,Hickory Grove
Simple Assault,Open,2019-04-06,South
Intimidation,Open,2020-02-27,Freedom
Intimidation,Open,2022-04-25,South
Simple Assault,Open,2019-08-13,Steele Creek
Intimidation,Open,2018-12-13,Steele Creek
Simple Assault,Cleared by Arrest,2018-08-08,Eastway
Simple Assault,Exceptionally Cleared,2018-03-03,Independence
Simple Assault,Cleared by Arrest,2019-10-21,Metro
Simple Assault,Cleared by Arrest,2019-07-18,North
Intimidation,Open,2017-06-07,Central
Simple Assault,Cleared by Arrest,2018-07-29,North
Simple Assault,Exceptionally Cleared,2018-12-07,North Tryon
Simple Assault,Open,2023-03-16,Providence
Simple Assault,Exceptionally Cleared,2017-07-15,Steele Creek
Simple Assault,Open,2024-05-01,Hickory Grove
Intimidation,Cleared by Arrest,2017-07-25,Westover
Intimidation,Open,2020-05-04,Freedom
Simple Assault,Exceptionally Cleared,2021-02-17,North
Simple Assault,Exceptionally Cleared,2019-05-25,Steele Creek
Simple Assault,Open,2020-03-24,Steele Creek
Simple Assault,Open,2023-09-06,Independence
Simple Assault,Cleared by Arrest,2018-08-22,Independence
Intimidation,Open,2021-05-24,Metro
Simple Assault,Open,2017-02-17,Eastway
Simple Assault,Cleared by Arrest,2022-05-13,Metro
Simple Assault,Exceptionally Cleared,2019-01-25,Steele Creek
Simple Assault,Cleared by Arrest,2022-01-28,Eastway
Simple Assault,Open,2023-01-06,Westover
Intimidation,Exceptionally Cleared,2017-05-30,Steele Creek
Simple Assault,Cleared by Arrest,2018-12-24,North
Simple Assault,Cleared by Arrest,2019-04-02,North Tryon
Simple Assault,Open,2021-11-14,North Tryon
Simple Assault,Open,2024-02-27,Central
Simple Assault,Exceptionally Cleared,2023-01-09,Eastway
Intimidation,Open,2024-10-30,University City
Intimidation,Open,2023-10-17,Metro
Simple Assault,Unfounded,2024-01-11,Hickory Grove
Simple Assault,Cleared by Arrest,2018-05-16,Metro
Intimidation,Open,2023-11-22,North Tryon
Intimidation,Open,2024-06-27,North
Simple Assault,Cleared by Arrest,2023-12-31,University City
Simple Assault,Exceptionally Cleared,2023-02-20,South
Intimidation,Open,2020-05-02,Central
Simple Assault,Exceptionally Cleared,2022-11-07,Westover
Intimidation,Exceptionally Cleared,2017-10-13,Central
Simple Assault,Exceptionally Cleared,2020-08-05,Steele Creek
Simple Assault,Open,2020-06-03,University City
Simple Assault,Exceptionally Cleared,2018-04-26,Metro
